Name	Gender	Country	Sport	Event	Age	Height	Weight
Winny Chebet	Women	Kenya	Athletics	800 metres	25	1.52	48
Egle Balciunaite	Women	Lithuania	Athletics	800 metres	27	1.76	63
Charline Mathias	Women	Luxembourg	Athletics	800 metres	24	1.73	60
Houleye Ba	Women	Mauritania	Athletics	800 metres	24	1.70	55
Malika Akkaoui	Women	Morocco	Athletics	800 metres	28	1.60	49
Rababe Arafi	Women	Morocco	Athletics	800 metres	25	1.67	52
Swe Li Myint Myint	Women	Myanmar	Athletics	800 metres	23	1.68	55
Sifan Hassan	Women	Netherlands	Athletics	800 metres	23	1.70	49
Angela Petty	Women	New Zealand	Athletics	800 metres	24	1.68	58
Angelika Cichocka	Women	Poland	Athletics	800 metres	28	1.70	56
Joanna Jozwik	Women	Poland	Athletics	800 metres	25	1.69	53
Rose Nathike Lokonyen	Women	Refugee Olympic Team	Athletics	800 metres	21	1.57	50
Claudia Bobocea	Women	Romania	Athletics	800 metres	24	1.76	53
Florina Pierdevara	Women	Romania	Athletics	800 metres	26	1.72	53
Amela Terzic	Women	Serbia	Athletics	800 metres	23	1.69	54
Lucia Hrivnak Klocova	Women	Slovakia	Athletics	800 metres	32	1.72	58
Caster Semenya	Women	South Africa	Athletics	800 metres	25	1.78	70
Esther Guerrero	Women	Spain	Athletics	800 metres	26	1.68	60
Amna Bakhit	Women	Sudan	Athletics	800 metres	25	1.75	59
Lovisa Lindh	Women	Sweden	Athletics	800 metres	25	1.69	57
Selina Buchel	Women	Switzerland	Athletics	800 metres	25	1.67	57
Nataliia Lupu	Women	Ukraine	Athletics	800 metres	28	1.75	60
Nataliia Pryshchepa	Women	Ukraine	Athletics	800 metres	21	1.63	48
Olha Lyakhova	Women	Ukraine	Athletics	800 metres	24	1.74	60
Ajee Wilson	Women	United States	Athletics	800 metres	22	1.73	61
Chrishuna Williams	Women	United States	Athletics	800 metres	23	1.61	54
Kate Grace	Women	United States	Athletics	800 metres	27	1.73	55
Deborah Rodriguez	Women	Uruguay	Athletics	800 metres	23	1.75	61
Rocio Comba	Women	Argentina	Athletics	Discus throw	29	1.80	100
Benn Harradine	Men	Australia	Athletics	Discus throw	33	1.98	115
Matthew Denny	Men	Australia	Athletics	Discus throw	20	1.95	118
Dani Samuels	Women	Australia	Athletics	Discus throw	28	1.82	82
Lukas Weisshaidinger	Men	Austria	Athletics	Discus throw	24	1.96	136
Philip Milanov	Men	Belgium	Athletics	Discus throw	25	1.98	110
Andressa de Morais	Women	Brazil	Athletics	Discus throw	25	1.78	97
Fernanda Martins	Women	Brazil	Athletics	Discus throw	28	1.75	85
Karen Gallardo	Women	Chile	Athletics	Discus throw	32	1.75	96
Bin Feng	Women	China	Athletics	Discus throw	22	1.84	95
Xinyue Su	Women	China	Athletics	Discus throw	24	1.78	94
Yang Chen	Women	China	Athletics	Discus throw	25	1.80	97
Mauricio Ortega	Men	Colombia	Athletics	Discus throw	22	1.80	90
Sandra Perkovic	Women	Croatia	Athletics	Discus throw	26	1.83	85
Jorge Y. Fernandez	Men	Cuba	Athletics	Discus throw	28	1.90	100
Denia Caballero	Women	Cuba	Athletics	Discus throw	26	1.75	70
Yaime Perez	Women	Cuba	Athletics	Discus throw	25	1.75	74
Apostolos Parellis	Men	Cyprus	Athletics	Discus throw	31	1.86	110
Gerd Kanter	Men	Estonia	Athletics	Discus throw	37	1.96	125
Martin Kupper	Men	Estonia	Athletics	Discus throw	27	1.98	119
Melina Robert-Michon	Women	France	Athletics	Discus throw	37	1.80	85
Pauline Pousse	Women	France	Athletics	Discus throw	28	1.84	84
Christoph Harting	Men	Germany	Athletics	Discus throw	26	2.07	123
Daniel Jasinski	Men	Germany	Athletics	Discus throw	27	2.07	120
Robert Harting	Men	Germany	Athletics	Discus throw	31	2.01	126
Julia Fischer	Women	Germany	Athletics	Discus throw	26	1.92	98
Nadine Muller	Women	Germany	Athletics	Discus throw	30	1.93	94
Shanice Craft	Women	Germany	Athletics	Discus throw	23	1.85	93
Jade Lally	Women	Great Britain	Athletics	Discus throw	29	1.82	88
Hrisoula Anagnostopoulou	Women	Greece	Athletics	Discus throw	24	1.75	85
Zoltan Kovago	Men	Hungary	Athletics	Discus throw	37	2.04	132
Gudni Valur Gudnason	Men	Iceland	Athletics	Discus throw	20	1.99	120
Vikas Gowda	Men	India	Athletics	Discus throw	33	2.05	135
Seema Antil	Women	India	Athletics	Discus throw	33	1.82	92
Ehsan Hadadi	Men	Iran	Athletics	Discus throw	31	1.92	120
Mahmoud Samimi	Men	Iran	Athletics	Discus throw	27	1.86	90
Fedrick Dacres	Men	Jamaica	Athletics	Discus throw	22	1.91	104
Kellion Knibb	Women	Jamaica	Athletics	Discus throw	22	1.83	86
Shadae Lawrence	Women	Jamaica	Athletics	Discus throw	20	1.73	84
Tarasue Barnett	Women	Jamaica	Athletics	Discus throw	22	1.78	81
Yevgeniy Labutov	Men	Kazakhstan	Athletics	Discus throw	31	1.94	120
Mariya Telushkina	Women	Kazakhstan	Athletics	Discus throw	22	1.78	90
Andrius Gudzius	Men	Lithuania	Athletics	Discus throw	25	2.00	130
Zinaida Sendriute	Women	Lithuania	Athletics	Discus throw	31	1.88	95
Natalia Stratulat	Women	Moldova	Athletics	Discus throw	29	1.78	83
Danijel Furtula	Men	Montenegro	Athletics	Discus throw	24	1.93	118
Chinwe Okoro	Women	Nigeria	Athletics	Discus throw	27	1.78	102
Piotr Malachowski	Men	Poland	Athletics	Discus throw	33	1.93	130
Robert Urbanek	Men	Poland	Athletics	Discus throw	29	2.00	122
Zaneta Glanc	Women	Poland	Athletics	Discus throw	33	1.86	95
Irina Rodrigues	Women	Portugal	Athletics	Discus throw	25	1.81	95
Sultan Mubarak Al-Dawoodi	Men	Saudi Arabia	Athletics	Discus throw	39	1.92	86
Dragana Tomasevic	Women	Serbia	Athletics	Discus throw	34	1.75	80
Jennifer Frank Casanas	Men	Spain	Athletics	Discus throw	37	1.87	117
Lois Maikel Martinez	Men	Spain	Athletics	Discus throw	35	1.87	120
Sabina Asenjo	Women	Spain	Athletics	Discus throw	30	1.78	90
Axel Harstedt	Men	Sweden	Athletics	Discus throw	29	1.97	135
Daniel Stahl	Men	Sweden	Athletics	Discus throw	23	2.00	155
Subenrat Insaeng	Women	Thailand	Athletics	Discus throw	22	1.82	115
Mykyta Nesterenko	Men	Ukraine	Athletics	Discus throw	25	2.08	120
Oleksiy Semenov	Men	Ukraine	Athletics	Discus throw	34	1.98	120
Natalia Semenova	Women	Ukraine	Athletics	Discus throw	34	1.78	75
Andrew Evans	Men	United States	Athletics	Discus throw	25	1.99	113
Mason Finley	Men	United States	Athletics	Discus throw	25	2.04	157
Tavis Bailey	Men	United States	Athletics	Discus throw	24	1.91	124
Kelsey Card	Women	United States	Athletics	Discus throw	23	1.78	115
Shelbi Vaughan	Women	United States	Athletics	Discus throw	21	1.83	127
Whitney Ashley	Women	United States	Athletics	Discus throw	27	1.76	90
Izmir Smajlaj	Men	Albania	Athletics	Long jump	23	1.95	86
Fabrice Lapierre	Men	Australia	Athletics	Long jump	32	1.79	69
Henry Frayne	Men	Australia	Athletics	Long jump	26	1.88	83
Kanstantsin Barycheuski	Men	Belarus	Athletics	Long jump	26	1.91	87
Tyrone Smith	Men	Bermuda	Athletics	Long jump	32	1.83	74
Higor Alves	Men	Brazil	Athletics	Long jump	22	1.83	64
Changzhou Huang	Men	China	Athletics	Long jump	21	1.86	73
Jianan Wang	Men	China	Athletics	Long jump	19	1.85	72
Xinglong Gao	Men	China	Athletics	Long jump	22	1.82	63
Maykel Masso	Men	Cuba	Athletics	Long jump	17	1.74	61
Radek Juska	Men	Czech Republic	Athletics	Long jump	23	1.94	84
Kafetien Gomis	Men	France	Athletics	Long jump	36	1.85	70
Bachana Khorava	Men	Georgia	Athletics	Long jump	23	1.71	67
Alyn Camara	Men	Germany	Athletics	Long jump	27	1.96	84
Fabian Heinle	Men	Germany	Athletics	Long jump	22	1.87	72
Greg Rutherford	Men	Great Britain	Athletics	Long jump	29	1.88	92
Miltiadis Tentoglou	Men	Greece	Athletics	Long jump	18	1.85	75
Ming Tai Chan	Men	Hong Kong	Athletics	Long jump	21	1.75	60
Ankit Sharma	Men	India	Athletics	Long jump	24	1.77	75
Mohammad Arzandeh	Men	Iran	Athletics	Long jump	28	1.89	77
Aubrey Smith	Men	Jamaica	Athletics	Long jump	28	1.80	75
Damar Forbes	Men	Jamaica	Athletics	Long jump	25	1.88	82
Rushwal Samaai	Men	South Africa	Athletics	Long jump	24	1.85	75
Stefan Brits	Men	South Africa	Athletics	Long jump	24	1.83	72
Deokhyeon Kim	Men	South Korea	Athletics	Long jump	30	1.80	71
Jean Marie Okutu	Men	Spain	Athletics	Long jump	27	1.78	70
Michel Torneus	Men	Sweden	Athletics	Long jump	30	1.84	73
Jarrion Lawson	Men	United States	Athletics	Long jump	22	1.88	78
Jeff Henderson	Men	United States	Athletics	Long jump	27	1.83	85
Mike Hartfield	Men	United States	Athletics	Long jump	26	1.91	77
Emiliano Lasa	Men	Uruguay	Athletics	Long jump	26	1.80	75
El Hadi Laameche	Men	Algeria	Athletics	Marathon	26	1.65	60
Hakim Sadi	Men	Algeria	Athletics	Marathon	23	1.76	56
Kenza Dahmani Tifahi	Women	Algeria	Athletics	Marathon	35	1.64	54
Souad Ait Salem	Women	Algeria	Athletics	Marathon	37	1.58	50
Federico Bruno	Men	Argentina	Athletics	Marathon	23	1.85	66
Luis Ariel Molina	Men	Argentina	Athletics	Marathon	28	1.72	57
Mariano Mastromarino	Men	Argentina	Athletics	Marathon	33	1.69	56
Maria Peralta	Women	Argentina	Athletics	Marathon	38	1.67	49
Rosa Godoy	Women	Argentina	Athletics	Marathon	34	1.60	47
Viviana Chavez	Women	Argentina	Athletics	Marathon	29	1.64	52
Liam Adams	Men	Australia	Athletics	Marathon	29	1.78	64
Michael Shelley	Men	Australia	Athletics	Marathon	32	1.83	60
Scott Westcott	Men	Australia	Athletics	Marathon	40	1.79	64
Jessica Trengove	Women	Australia	Athletics	Marathon	28	1.66	52
Lisa Jane Weightman	Women	Australia	Athletics	Marathon	37	1.57	44
Andrea Mayr	Women	Austria	Athletics	Marathon	36	1.74	53
Evans Kiplagat Barkowet	Men	Azerbaijan	Athletics	Marathon	28	1.70	60
Alemu Bekele	Men	Bahrain	Athletics	Marathon	26	1.62	59
Isaac Korir	Men	Bahrain	Athletics	Marathon	25	1.88	59
Shumi Dechasa	Men	Bahrain	Athletics	Marathon	27	1.71	65
Eunice Jepkirui Kirwa	Women	Bahrain	Athletics	Marathon	32	1.55	49
Shitaye Eshete	Women	Bahrain	Athletics	Marathon	26	1.64	51
Stsiapan Rahautsou	Men	Belarus	Athletics	Marathon	30	1.74	58
Uladzislau Pramau	Men	Belarus	Athletics	Marathon	32	1.77	66
Maryna Damantsevich	Women	Belarus	Athletics	Marathon	32	1.62	51
Nastassia Ivanova	Women	Belarus	Athletics	Marathon	33	1.62	50
Volha Mazuronak	Women	Belarus	Athletics	Marathon	27	1.65	49
Florent Caelen	Men	Belgium	Athletics	Marathon	27	1.75	54
Koen Naert	Men	Belgium	Athletics	Marathon	26	1.82	66
Willem van Schuerbeeck	Men	Belgium	Athletics	Marathon	31	1.79	60
Els Rens	Women	Belgium	Athletics	Marathon	33	1.60	51
Manuela Soccol	Women	Belgium	Athletics	Marathon	28	1.57	42
Veerle Dejaeghere	Women	Belgium	Athletics	Marathon	43	1.59	46
Rosemary Quispe	Women	Bolivia	Athletics	Marathon	32	1.59	50
Lucia Mwihaki Kimani	Women	Bosnia Herzegovina	Athletics	Marathon	35	1.66	48
Marilson dos Santos	Men	Brazil	Athletics	Marathon	39	1.74	58
Paulo Roberto Paula	Men	Brazil	Athletics	Marathon	37	1.70	55
Solonei da Silva	Men	Brazil	Athletics	Marathon	34	1.72	65
Adriana Aparecida da Silva	Women	Brazil	Athletics	Marathon	35	1.66	52
Graciete Santana	Women	Brazil	Athletics	Marathon	25	1.55	43
Marily dos Santos	Women	Brazil	Athletics	Marathon	38	1.58	46
Militsa Mircheva	Women	Bulgaria	Athletics	Marathon	22	1.65	50
Abraham Niyonkuru	Men	Burundi	Athletics	Marathon	26	1.62	52
Celestin Nihorimbere	Men	Burundi	Athletics	Marathon	23	1.67	55
Diane Nukuri-Johnson	Women	Burundi	Athletics	Marathon	31	1.83	59
Kuniaki Takizaki	Men	Cambodia	Athletics	Marathon	39	1.51	55
Nary Ly	Women	Cambodia	Athletics	Marathon	44	1.60	55
Eric Gillis	Men	Canada	Athletics	Marathon	36	1.72	58
Reid Coolsaet	Men	Canada	Athletics	Marathon	37	1.73	62
Krista Duchene	Women	Canada	Athletics	Marathon	39	1.67	54
Lanni Marchant	Women	Canada	Athletics	Marathon	32	1.55	48
Daniel Estrada	Men	Chile	Athletics	Marathon	26	1.73	61
Enzo Yanez	Men	Chile	Athletics	Marathon	30	1.74	63
Victor Aravena	Men	Chile	Athletics	Marathon	26	1.66	55
Erika Olivera	Women	Chile	Athletics	Marathon	40	1.63	55
Natalia Romero	Women	Chile	Athletics	Marathon	36	1.63	57
Duobujie	Men	China	Athletics	Marathon	22	1.75	55
Guojian Dong	Men	China	Athletics	Marathon	29	1.70	55
Renxue Zhu	Men	China	Athletics	Marathon	25	1.70	50
Chao Yue	Women	China	Athletics	Marathon	25	1.65	50
Shaoqing Hua	Women	China	Athletics	Marathon	22	1.65	50
Chin-Ping Ho	Men	Chinese Taipei	Athletics	Marathon	32	1.73	60
Chien-Ho Hsieh	Women	Chinese Taipei	Athletics	Marathon	28	1.64	48
Yu-Hsuan Chen	Women	Chinese Taipei	Athletics	Marathon	23	1.57	50
Andres Ruiz	Men	Colombia	Athletics	Marathon	28	1.64	64
Diego Colorado	Men	Colombia	Athletics	Marathon	42	1.69	62
Gerald Giraldo	Men	Colombia	Athletics	Marathon	27	1.75	60
Angie Orjuela	Women	Colombia	Athletics	Marathon	27	1.58	46
Erika Abril	Women	Colombia	Athletics	Marathon	38	1.64	52
Marija Vrajic	Women	Croatia	Athletics	Marathon	39	1.69	51
Matea Matosevic	Women	Croatia	Athletics	Marathon	27	1.73	52
Richer Perez	Men	Cuba	Athletics	Marathon	30	1.63	58
Dailin Belmonte	Women	Cuba	Athletics	Marathon	30	1.58	52
Eva Vrabcova Nyvltova	Women	Czech Republic	Athletics	Marathon	30	1.62	48
Abdi Hakin Ulad	Men	Denmark	Athletics	Marathon	25	1.75	57
Anne Holm Baumeister	Women	Denmark	Athletics	Marathon	28	1.68	54
Jessica Draskau-Petersson	Women	Denmark	Athletics	Marathon	38	1.70	62
Mumin Gala	Men	Djibouti	Athletics	Marathon	29	1.85	70
Bayron Piedra	Men	Ecuador	Athletics	Marathon	33	1.75	68
Miguel Angel Almachi	Men	Ecuador	Athletics	Marathon	31	1.65	55
Segundo Jami	Men	Ecuador	Athletics	Marathon	30	1.65	54
Maria Elena Calle	Women	Ecuador	Athletics	Marathon	41	1.62	54
Rosa Chacha	Women	Ecuador	Athletics	Marathon	33	1.55	48
Silvia Paredes	Women	Ecuador	Athletics	Marathon	33	1.64	57
Amanuel Mesel	Men	Eritrea	Athletics	Marathon	25	1.77	59
Roman Fosti	Men	Estonia	Athletics	Marathon	33	1.81	69
Tiidrek Nurme	Men	Estonia	Athletics	Marathon	30	1.84	70
Leila Luik	Women	Estonia	Athletics	Marathon	30	1.65	48
Liina Luik	Women	Estonia	Athletics	Marathon	30	1.64	48
Lily Luik	Women	Estonia	Athletics	Marathon	30	1.63	48
Feyisa Lilesa	Men	Ethiopia	Athletics	Marathon	26	1.75	67
Lemi Berhanu	Men	Ethiopia	Athletics	Marathon	21	1.68	53
Tesfaye Abera	Men	Ethiopia	Athletics	Marathon	24	1.92	68
Mare Dibaba	Women	Ethiopia	Athletics	Marathon	26	1.56	45
Tirfi Tsegaye	Women	Ethiopia	Athletics	Marathon	31	1.62	52
Anne-Mari Hyrylainen	Women	Finland	Athletics	Marathon	37	1.68	50
Christelle Daunay	Women	France	Athletics	Marathon	41	1.62	43
Daviti Kharazishvili	Men	Georgia	Athletics	Marathon	24	1.71	68
Julian Flugel	Men	Germany	Athletics	Marathon	30	1.83	66
Philipp Pflieger	Men	Germany	Athletics	Marathon	29	1.88	70
Anja Scherl	Women	Germany	Athletics	Marathon	30	1.60	48
Anna Hahner	Women	Germany	Athletics	Marathon	26	1.65	48
Lisa Hahner	Women	Germany	Athletics	Marathon	26	1.67	50
Callum Hawkins	Men	Great Britain	Athletics	Marathon	24	1.79	62
Derek Hawkins	Men	Great Britain	Athletics	Marathon	27	1.80	68
Tsegai Tewelde	Men	Great Britain	Athletics	Marathon	26	1.72	56
Alyson Dixon	Women	Great Britain	Athletics	Marathon	37	1.55	43
Sonia Samuels	Women	Great Britain	Athletics	Marathon	37	1.62	47
Hristoforos Merousis	Men	Greece	Athletics	Marathon	34	1.78	72
Michael Kalomiris	Men	Greece	Athletics	Marathon	29	1.81	65
Ourania Rebouli	Women	Greece	Athletics	Marathon	27	1.64	49
Panayiota Vlahaki	Women	Greece	Athletics	Marathon	25	1.67	50
Sofia Riga	Women	Greece	Athletics	Marathon	28	1.54	46
Jose Amado Garcia	Men	Guatemala	Athletics	Marathon	38	1.77	59
Juan Carlos Trujillo	Men	Guatemala	Athletics	Marathon	31	1.45	58
Kit-Ching Yiu	Women	Hong Kong	Athletics	Marathon	28	1.55	45
Gabor Jozsa	Men	Hungary	Athletics	Marathon	32	1.70	59
Gaspar Csere	Men	Hungary	Athletics	Marathon	24	1.71	55
Krisztina Papp	Women	Hungary	Athletics	Marathon	33	1.73	53
Tunde Szabo	Women	Hungary	Athletics	Marathon	27	1.54	46
Zsofia Erdelyi	Women	Hungary	Athletics	Marathon	28	1.64	53
Kheta Ram	Men	India	Athletics	Marathon	29	1.69	53
Nitendra Singh	Men	India	Athletics	Marathon	29	1.72	58
Thanackal Gopi	Men	India	Athletics	Marathon	28	1.66	56
Jaisha Orchatteri	Women	India	Athletics	Marathon	33	1.54	43
Kavita Raut	Women	India	Athletics	Marathon	31	1.57	45
Mohammadjafar Moradi	Men	Iran	Athletics	Marathon	26	1.69	62
Kevin Seaward	Men	Ireland	Athletics	Marathon	32	1.75	59
Mick Clohissey	Men	Ireland	Athletics	Marathon	30	1.80	64
Paul Pollock	Men	Ireland	Athletics	Marathon	30	1.77	57
Breege Connolly	Women	Ireland	Athletics	Marathon	38	1.63	54
Fionnuala McCormack	Women	Ireland	Athletics	Marathon	31	1.59	46
Lizzie Lee	Women	Ireland	Athletics	Marathon	36	1.65	51
Ageze Guadie	Men	Israel	Athletics	Marathon	26	1.75	56
Maru Teferi	Men	Israel	Athletics	Marathon	23	1.64	52
Tasama Moogas	Men	Israel	Athletics	Marathon	28	1.64	53
Lornah Chemtai Korlima	Women	Israel	Athletics	Marathon	27	1.65	52
Maor Tiyouri	Women	Israel	Athletics	Marathon	25	1.48	44
Daniele Meucci	Men	Italy	Athletics	Marathon	30	1.78	64
Ruggero Pertile	Men	Italy	Athletics	Marathon	42	1.65	55
Stefano la Rosa	Men	Italy	Athletics	Marathon	30	1.70	54
Anna Incerti	Women	Italy	Athletics	Marathon	36	1.68	44
Catherine Bertone	Women	Italy	Athletics	Marathon	44	1.60	45
Valeria Straneo	Women	Italy	Athletics	Marathon	40	1.65	45
Hisanori Kitajima	Men	Japan	Athletics	Marathon	31	1.71	55
Satoru Sasaki	Men	Japan	Athletics	Marathon	30	1.71	56
Suehiro Ishikawa	Men	Japan	Athletics	Marathon	36	1.69	56
Kayoko Fukushi	Women	Japan	Athletics	Marathon	34	1.60	47
Mai Ito	Women	Japan	Athletics	Marathon	32	1.56	41
Tomomi Tanaka	Women	Japan	Athletics	Marathon	28	1.54	40
Methkal Abu Drais	Men	Jordan	Athletics	Marathon	32	1.68	67
Mihail Krassilov	Men	Kazakhstan	Athletics	Marathon	26	1.83	70
Gulzhanat Zhanatbek	Women	Kazakhstan	Athletics	Marathon	24	1.70	55
Irina Smolnikova	Women	Kazakhstan	Athletics	Marathon	36	1.63	55
Eliud Kipchoge	Men	Kenya	Athletics	Marathon	31	1.67	57
Stanley Kipleting Biwott	Men	Kenya	Athletics	Marathon	30	1.52	61
Wesley Korir	Men	Kenya	Athletics	Marathon	33	1.77	54
Helah Jelagat Kiprop	Women	Kenya	Athletics	Marathon	31	1.60	50
Jemima Jelagat Sumgong	Women	Kenya	Athletics	Marathon	31	1.60	45
Visiline Jepkesho	Women	Kenya	Athletics	Marathon	26	1.60	43
Ilya Tiapkin	Men	Kyrgyzstan	Athletics	Marathon	25	1.60	65
Iuliia Andreeva	Women	Kyrgyzstan	Athletics	Marathon	32	1.68	51
Mariya Korobitskaya	Women	Kyrgyzstan	Athletics	Marathon	26	1.55	50
Viktoriia Poliudina	Women	Kyrgyzstan	Athletics	Marathon	27	1.65	55
Valerijs Zolnerovics	Men	Latvia	Athletics	Marathon	31	1.80	67
Ariana Kira Hilborna	Women	Latvia	Athletics	Marathon	35	1.67	52
Ilona Marhele	Women	Latvia	Athletics	Marathon	30	1.64	50
Jelena Prokopcuka	Women	Latvia	Athletics	Marathon	39	1.68	52
Remigijus Kancys	Men	Lithuania	Athletics	Marathon	29	1.73	62
Valdas Dopolskas	Men	Lithuania	Athletics	Marathon	24	1.83	69
Diana Lobacevske	Women	Lithuania	Athletics	Marathon	36	1.74	57
Rasa Drazdauskaite	Women	Lithuania	Athletics	Marathon	35	1.73	58
Vaida Zusinaite	Women	Lithuania	Athletics	Marathon	28	1.67	50
Tereza Master	Women	Malawi	Athletics	Marathon	27	1.49	45
David Carver	Men	Mauritius	Athletics	Marathon	28	1.83	68
Daniel Vargas	Men	Mexico	Athletics	Marathon	32	1.62	53
Ricardo Ramos	Men	Mexico	Athletics	Marathon	30	1.72	56
Madai Perez	Women	Mexico	Athletics	Marathon	36	1.58	46
Margarita Hernandez	Women	Mexico	Athletics	Marathon	30	1.50	44
Vianey de la Rosa	Women	Mexico	Athletics	Marathon	30	1.50	43
Roman Prodius	Men	Moldova	Athletics	Marathon	35	1.82	70
Lilia Fisikowici	Women	Moldova	Athletics	Marathon	27	1.70	52
Byambajav Tseveenravdan	Men	Mongolia	Athletics	Marathon	26	1.69	58
Gantulga Dambadarjaa	Men	Mongolia	Athletics	Marathon	27	1.70	58
Ser-Od Bat-Ochir	Men	Mongolia	Athletics	Marathon	34	1.69	61
Munkhzaya Bayartsogt	Women	Mongolia	Athletics	Marathon	22	1.60	43
Otgonbayar Luvsanlundeg	Women	Mongolia	Athletics	Marathon	34	1.53	47
Sladana Perunovic	Women	Montenegro	Athletics	Marathon	32	1.70	58
Abdelmajid El Hissouf	Men	Morocco	Athletics	Marathon	23	1.70	56
Rachid Kisri	Men	Morocco	Athletics	Marathon	41	1.79	60
Koutar Boulaid	Women	Morocco	Athletics	Marathon	26	1.59	45
Mynhardt Mbeumuna Kawanivi	Men	Namibia	Athletics	Marathon	32	1.78	59
Alina Armas	Women	Namibia	Athletics	Marathon	32	1.66	53
Beata Naigambo	Women	Namibia	Athletics	Marathon	36	1.67	48
Helalia Johannes	Women	Namibia	Athletics	Marathon	35	1.65	46
Abdi Nageeye	Men	Netherlands	Athletics	Marathon	27	1.65	54
Andrea Deelstra	Women	Netherlands	Athletics	Marathon	31	1.64	46
Chol Pak	Men	North Korea	Athletics	Marathon	25	1.65	53
Hye-Gyong Kim	Women	North Korea	Athletics	Marathon	23	1.53	42
Hye-Song Kim	Women	North Korea	Athletics	Marathon	23	1.53	42
Kum-Ok Kim	Women	North Korea	Athletics	Marathon	27	1.61	48
Jorge Castelblanco	Men	Panama	Athletics	Marathon	28	1.69	58
Derlys Ayala	Men	Paraguay	Athletics	Marathon	26	1.78	75
Carmen Patricia Martinez	Women	Paraguay	Athletics	Marathon	33	1.60	55
Cristhian Pacheco	Men	Peru	Athletics	Marathon	23	1.62	50
Raul Machacuay	Men	Peru	Athletics	Marathon	33	1.65	57
Raul Pacheco	Men	Peru	Athletics	Marathon	37	1.67	55
Gladys Tejeda	Women	Peru	Athletics	Marathon	30	1.56	47
Ines Melchor	Women	Peru	Athletics	Marathon	29	1.52	45
Jovana de la Cruz	Women	Peru	Athletics	Marathon	24	1.61	53
Mary Joy Tabal	Women	Philippines	Athletics	Marathon	27	1.49	45
Artur Kozlowski	Men	Poland	Athletics	Marathon	31	1.69	54
Henryk Szost	Men	Poland	Athletics	Marathon	34	1.86	70
Yared Shegumo	Men	Poland	Athletics	Marathon	33	1.78	62
Iwona Lewandowska	Women	Poland	Athletics	Marathon	31	1.61	43
Katarzyna Kowalska	Women	Poland	Athletics	Marathon	31	1.78	55
Monika Stefanowicz	Women	Poland	Athletics	Marathon	36	1.60	46
Hermano Ferreira	Men	Portugal	Athletics	Marathon	33	1.72	62
Ricardo Ribas	Men	Portugal	Athletics	Marathon	38	1.74	63
Rui Pedro Silva	Men	Portugal	Athletics	Marathon	35	1.73	60
Ana Dulce Felix	Women	Portugal	Athletics	Marathon	33	1.66	53
Jessica Augusto	Women	Portugal	Athletics	Marathon	34	1.62	44
Sara Moreira	Women	Portugal	Athletics	Marathon	30	1.66	50
Beverly Ramos	Women	Puerto Rico	Athletics	Marathon	28	1.68	52
Yonas Kinde	Men	Refugee Olympic Team	Athletics	Marathon	36	1.72	57
Marius Ionescu	Men	Romania	Athletics	Marathon	31	1.70	55
Nicolae-Alexandru Soare	Men	Romania	Athletics	Marathon	24	1.68	59
Daniela Carlan	Women	Romania	Athletics	Marathon	35	1.64	47
Paula-Claudia Todoran	Women	Romania	Athletics	Marathon	31	1.64	48
Claudette Mukasakindi	Women	Rwanda	Athletics	Marathon	33	1.60	68
Sarah Attar	Women	Saudi Arabia	Athletics	Marathon	23	1.65	52
Andjelko Risticevic	Men	Serbia	Athletics	Marathon	30	1.91	78
Ana Subotic	Women	Serbia	Athletics	Marathon	32	1.71	54
Olivera Jevtic	Women	Serbia	Athletics	Marathon	39	1.74	51
Jie Shi Neo	Women	Singapore	Athletics	Marathon	31	1.68	50
Katarina Beresova	Women	Slovakia	Athletics	Marathon	28	1.62	49
Anton Kosmac	Men	Slovenia	Athletics	Marathon	39	1.83	66
Daneja Grandovec	Women	Slovenia	Athletics	Marathon	32	1.75	58
Lungile Gongqa	Men	South Africa	Athletics	Marathon	37	1.62	53
Lusapho April	Men	South Africa	Athletics	Marathon	34	1.72	50
Sibusiso Nzima	Men	South Africa	Athletics	Marathon	29	1.64	57
Christine Kalmer	Women	South Africa	Athletics	Marathon	30	1.72	55
Dina Lebo Phalula	Women	South Africa	Athletics	Marathon	32	1.65	46
Irvette van Zyl	Women	South Africa	Athletics	Marathon	29	1.69	53
Jungsub Shim	Men	South Korea	Athletics	Marathon	25	1.68	58
Myeongjun Son	Men	South Korea	Athletics	Marathon	22	1.81	62
Kyunghee Lim	Women	South Korea	Athletics	Marathon	33	1.63	43
Seul-Ki Ahn	Women	South Korea	Athletics	Marathon	24	1.61	46
Guor Marial	Men	South Sudan	Athletics	Marathon	32	1.80	60
Carles Castillejo	Men	Spain	Athletics	Marathon	37	1.65	61
Javier Guerra	Men	Spain	Athletics	Marathon	32	1.73	56
Jesus Espanya	Men	Spain	Athletics	Marathon	37	1.68	59
Alessandra Aguilar	Women	Spain	Athletics	Marathon	38	1.65	50
Azucena Diaz	Women	Spain	Athletics	Marathon	33	1.63	55
Estela Navascues	Women	Spain	Athletics	Marathon	35	1.63	50
Anuradha Indrajith Cooray	Men	Sri Lanka	Athletics	Marathon	38	1.74	58
Niluka Rajasekara	Women	Sri Lanka	Athletics	Marathon	34	1.55	42
Christian Kreienbuhl	Men	Switzerland	Athletics	Marathon	35	1.86	68
Tadesse Abraham	Men	Switzerland	Athletics	Marathon	33	1.78	61
