Name	Gender	Country	Sport	Event	Age	Height	Weight
Ika Rochmawati	Women	Indonesia	Archery	Individual	27	1.65	52
Zahra Nemati	Women	Iran	Archery	Individual	31	1.76	60
Claudia Mandia	Women	Italy	Archery	Individual	23	1.70	74
Guendalina Sartori	Women	Italy	Archery	Individual	28	1.69	90
Lucilla Boari	Women	Italy	Archery	Individual	19	1.62	82
Kaori Kawanaka	Women	Japan	Archery	Individual	25	1.59	51
Saori Nagamine	Women	Japan	Archery	Individual	23	1.66	60
Yuki Hayashi	Women	Japan	Archery	Individual	31	1.63	65
Luiza Saidiyeva	Women	Kazakhstan	Archery	Individual	22	1.62	42
Shehzana Anwar	Women	Kenya	Archery	Individual	26	1.60	55
Aida Roman	Women	Mexico	Archery	Individual	28	1.69	64
Alejandra Valencia	Women	Mexico	Archery	Individual	21	1.75	74
Gabriela Bayardo	Women	Mexico	Archery	Individual	22	1.68	73
Alexandra Mirca	Women	Moldova	Archery	Individual	22	1.68	70
San Yu Htwe	Women	Myanmar	Archery	Individual	29	1.67	57
Un Ju Kang	Women	North Korea	Archery	Individual	21	1.68	60
Karina Lipiarska-Palka	Women	Poland	Archery	Individual	29	1.74	76
Inna Stepanova	Women	Russia	Archery	Individual	26	1.76	63
Ksenia Perova	Women	Russia	Archery	Individual	27	1.69	77
Tuiana Dashidorzhieva	Women	Russia	Archery	Individual	20	1.69	57
Alexandra Longova	Women	Slovakia	Archery	Individual	22	1.73	51
Bobae Ki	Women	South Korea	Archery	Individual	28	1.67	57
Hyejin Chang	Women	South Korea	Archery	Individual	29	1.58	50
Misun Choi	Women	South Korea	Archery	Individual	20	1.68	53
Adriana Martin	Women	Spain	Archery	Individual	20	1.62	65
Christine Bjerendal	Women	Sweden	Archery	Individual	29	1.61	59
Karoline Lusitania Tatafu	Women	Tonga	Archery	Individual	18	1.76	70
Yasemin Anagoz	Women	Turkey	Archery	Individual	17	1.65	66
Anastasia Pavlova	Women	Ukraine	Archery	Individual	21	1.72	53
Lidiia Sichenikova	Women	Ukraine	Archery	Individual	23	1.83	69
Veronika Marchenko	Women	Ukraine	Archery	Individual	23	1.57	48
Mackenzie Brown	Women	United States	Archery	Individual	21	1.77	74
Leidys Brito	Women	Venezuela	Archery	Individual	32	1.69	52
Ane Marcelle dos Santos	Women	Brazil	Archery	Team	22	1.53	53
Marina Canetta	Women	Brazil	Archery	Team	27	1.62	51
Sarah Nikitin	Women	Brazil	Archery	Team	27	1.70	75
Hui Cao	Women	China	Archery	Team	24	1.75	70
Jiaxin Wu	Women	China	Archery	Team	19	1.64	72
Yuhong Qi	Women	China	Archery	Team	26	1.66	78
Chien-Ying Le	Women	Chinese Taipei	Archery	Team	26	1.65	69
Shih-Chia Lin	Women	Chinese Taipei	Archery	Team	23	1.65	63
Ya-Ting Tan	Women	Chinese Taipei	Archery	Team	22	1.58	53
Ana Maria Rendon	Women	Colombia	Archery	Team	30	1.60	63
Carolina Aguirre	Women	Colombia	Archery	Team	20	1.60	59
Natalia Sanchez	Women	Colombia	Archery	Team	33	1.66	63
Khatuna Narimanidze	Women	Georgia	Archery	Team	42	1.75	79
Kristine Esebua	Women	Georgia	Archery	Team	31	1.62	69
Yuliya Lobzhenidze	Women	Georgia	Archery	Team	38	1.77	80
Bombayla Devi Laishram	Women	India	Archery	Team	31	1.64	60
Deepika Kumari	Women	India	Archery	Team	22	1.63	61
Laxmirani Majhi	Women	India	Archery	Team	27	1.61	56
Claudia Mandia	Women	Italy	Archery	Team	23	1.70	74
Guendalina Sartori	Women	Italy	Archery	Team	28	1.69	90
Lucilla Boari	Women	Italy	Archery	Team	19	1.62	82
Kaori Kawanaka	Women	Japan	Archery	Team	25	1.59	51
Saori Nagamine	Women	Japan	Archery	Team	23	1.66	60
Yuki Hayashi	Women	Japan	Archery	Team	31	1.63	65
Aida Roman	Women	Mexico	Archery	Team	28	1.69	64
Alejandra Valencia	Women	Mexico	Archery	Team	21	1.75	74
Gabriela Bayardo	Women	Mexico	Archery	Team	22	1.68	73
Inna Stepanova	Women	Russia	Archery	Team	26	1.76	63
Ksenia Perova	Women	Russia	Archery	Team	27	1.69	77
Tuiana Dashidorzhieva	Women	Russia	Archery	Team	20	1.69	57
Bobae Ki	Women	South Korea	Archery	Team	28	1.67	57
Hyejin Chang	Women	South Korea	Archery	Team	29	1.58	50
Misun Choi	Women	South Korea	Archery	Team	20	1.68	53
Anastasia Pavlova	Women	Ukraine	Archery	Team	21	1.72	53
Lidiia Sichenikova	Women	Ukraine	Archery	Team	23	1.83	69
Veronika Marchenko	Women	Ukraine	Archery	Team	23	1.57	48
Kamia Yousufi	Women	Afghanistan	Athletics	100 metres	20	1.65	55
Jordan Mageo	Women	American Samoa	Athletics	100 metres	19	1.72	68
Liliana Neto	Women	Angola	Athletics	100 metres	19	1.66	57
Melissa Breen	Women	Australia	Athletics	100 metres	25	1.74	65
Shaunae Miller	Women	Bahamas	Athletics	100 metres	22	1.85	69
Hajar Alkhaldi	Women	Bahrain	Athletics	100 metres	21	1.60	45
Ana Claudia Silva	Women	Brazil	Athletics	100 metres	27	1.58	56
Franciela Krasucki	Women	Brazil	Athletics	100 metres	28	1.68	63
Rosangela Santos	Women	Brazil	Athletics	100 metres	25	1.66	64
Ivet Lalova-Collio	Women	Bulgaria	Athletics	100 metres	32	1.68	56
Crystal Emmanuel	Women	Canada	Athletics	100 metres	24	1.70	59
Khamica Bingham	Women	Canada	Athletics	100 metres	22	1.60	60
Lidiane Lopes	Women	Cape Verde	Athletics	100 metres	21	1.78	70
Qiqi Yuan	Women	China	Athletics	100 metres	20	1.55	50
Yongli Wei	Women	China	Athletics	100 metres	24	1.68	58
Eliecith Palacios	Women	Colombia	Athletics	100 metres	28	1.70	64
Evelyn Rivera	Women	Colombia	Athletics	100 metres	18	1.57	54
Denika Kassim	Women	Comoros	Athletics	100 metres	19	1.57	44
Cecilia Bouele	Women	Congo	Athletics	100 metres	23	1.66	60
Patricia Taea	Women	Cook Islands	Athletics	100 metres	23	1.70	67
Andrea Ivancevic	Women	Croatia	Athletics	100 metres	31	1.68	62
Ramona Papaioannou	Women	Cyprus	Athletics	100 metres	27	1.70	63
Angela Tenorio	Women	Ecuador	Athletics	100 metres	20	1.63	56
Narcisa Landazuri	Women	Ecuador	Athletics	100 metres	25	1.66	55
Ruddy Zang Milama	Women	Gabon	Athletics	100 metres	29	1.56	53
Gina Luckenkemper	Women	Germany	Athletics	100 metres	19	1.70	56
Lisa Mayer	Women	Germany	Athletics	100 metres	20	1.71	57
Rebekka Haase	Women	Germany	Athletics	100 metres	23	1.70	58
Tatjana Pinto	Women	Germany	Athletics	100 metres	24	1.70	56
Asha Philip	Women	Great Britain	Athletics	100 metres	25	1.64	67
Daryll Neita	Women	Great Britain	Athletics	100 metres	19	1.72	61
Desiree Henry	Women	Great Britain	Athletics	100 metres	20	1.71	64
Regine Tugade	Women	Guam	Athletics	100 metres	18	1.65	50
Makoura Keita	Women	Guinea	Athletics	100 metres	21	1.75	71
Brenessa Thompson	Women	Guyana	Athletics	100 metres	20	1.63	62
Dutee Chand	Women	India	Athletics	100 metres	20	1.60	50
Marie-Josee Ta Lou	Women	Ivory Coast	Athletics	100 metres	27	1.59	50
Murielle Ahoure	Women	Ivory Coast	Athletics	100 metres	28	1.65	58
Christania Williams	Women	Jamaica	Athletics	100 metres	21	1.65	63
Elaine Thompson	Women	Jamaica	Athletics	100 metres	24	1.67	57
Shelly-Ann Fraser-Pryce	Women	Jamaica	Athletics	100 metres	29	1.52	57
Veronica Campbell-Brown	Women	Jamaica	Athletics	100 metres	34	1.68	58
Chisato Fukushima	Women	Japan	Athletics	100 metres	28	1.65	52
Olga Safronova	Women	Kazakhstan	Athletics	100 metres	24	1.71	62
Rima Kashafutdinova	Women	Kazakhstan	Athletics	100 metres	21	1.60	48
Viktoriya Zyabkina	Women	Kazakhstan	Athletics	100 metres	23	1.74	62
Karitaake Tewaaki	Women	Kiribati	Athletics	100 metres	18	1.55	52
Laenly Phoutthavong	Women	Laos	Athletics	100 metres	20	1.69	55
Zaidatul Husniah Zulkifli	Women	Malaysia	Athletics	100 metres	22	1.56	40
Charlotte Wingfield	Women	Malta	Athletics	100 metres	21	1.73	69
Mariana Cress	Women	Marshall Islands	Athletics	100 metres	17	1.58	52
Lerissa Henry	Women	Micronesia	Athletics	100 metres	18	1.53	57
Dafne Schippers	Women	Netherlands	Athletics	100 metres	24	1.79	70
Blessing Okagbare	Women	Nigeria	Athletics	100 metres	27	1.81	71
Gloria Asumnu	Women	Nigeria	Athletics	100 metres	31	1.68	64
Jennifer Madu	Women	Nigeria	Athletics	100 metres	21	1.68	65
Peace Uko	Women	Nigeria	Athletics	100 metres	20	1.61	58
Toea Wisil	Women	Papua New Guinea	Athletics	100 metres	28	1.62	63
Ewa Swoboda	Women	Poland	Athletics	100 metres	19	1.67	60
Marika Popowicz-Drapala	Women	Poland	Athletics	100 metres	28	1.64	55
Lorene Dorcas Bazolo	Women	Portugal	Athletics	100 metres	33	1.70	60
Kariman Abuljadayel	Women	Saudi Arabia	Athletics	100 metres	22	1.80	70
Alyssa Conley	Women	South Africa	Athletics	100 metres	25	1.76	63
