Name	Gender	Year	Sport	Event	Rank	Medal
Suma Shirur	F	2004	Shooting	Air rifle, 10 metre	8	
Anjali Ramakanta Vedpathak-Bhagwat (Tied)	F	2004	Shooting	Air rifle, 10 metre	20	
Anjali Ramakanta Vedpathak-Bhagwat (Tied)	F	2004	Shooting	Small-bore rifle, three positions, 50 metre	13	
Deepali Deshpande	F	2004	Shooting	Small-bore rifle, three positions, 50 metre	19	
Abhinav Bindra (Tied)	M	2000	Shooting	Air rifle, 10 metre	11	
Anwer Sultan (Tied)	M	2000	Shooting	Trap	26	
Anjali Ramakanta Vedpathak-Bhagwat	F	2000	Shooting	Air rifle, 10 metre	8	
Anjali Ramakanta Vedpathak-Bhagwat	F	2000	Shooting	Small-bore rifle, three positions, 50 metre	33	
Jaspal Rana (Tied)	M	1996	Shooting	Air pistol, 10 metre	29	
Jaspal Rana	M	1996	Shooting	Freepistol, 50 metre	45	
Mansher Singh (Tied)	M	1996	Shooting	Trap	31	
Rahul Banerjee	M	2012	Archery	Individual	17	
Tarundeep Rai	M	2012	Archery	Individual	17	
Jayanta Talukdar	M	2012	Archery	Individual	33	
Jayanta Talukdar	M	2012	Archery	Team	9	
Tarundeep Rai	M	2012	Archery	Team	9	
Rahul Banerjee	M	2012	Archery	Team	9	
Bombayla Devi	F	2012	Archery	Individual	17	
Deepika Kumari	F	2012	Archery	Individual	33	
Chekrovolu Swuro	F	2012	Archery	Individual	33	
Deepika Kumari	F	2012	Archery	Team	9	
Bombayla Devi	F	2012	Archery	Team	9	
Chekrovolu Swuro	F	2012	Archery	Team	9	
Mangal Singh	M	2008	Archery	Individual	25	
Pranitha Vardhineni	F	2008	Archery	Individual	30	
Dola Banerjee	F	2008	Archery	Individual	33	
Bombayla Devi	F	2008	Archery	Individual	48	
Pranitha Vardhineni	F	2008	Archery	Team	7	
Dola Banerjee	F	2008	Archery	Team	7	
Bombayla Devi	F	2008	Archery	Team	7	
Satyadev Prasad	M	2004	Archery	Individual	10	
Tarundeep Rai	M	2004	Archery	Individual	43	
Majhi Sawaiyan	M	2004	Archery	Individual	59	
Satyadev Prasad	M	2004	Archery	Team	11	
Tarundeep Rai	M	2004	Archery	Team	11	
Majhi Sawaiyan	M	2004	Archery	Team	11	
Reena Kumari	F	2004	Archery	Individual	15	
Sumangala Sharma	F	2004	Archery	Individual	24	
Dola Banerjee	F	2004	Archery	Individual	52	
Dola Banerjee	F	2004	Archery	Team	8	
Reena Kumari	F	2004	Archery	Team	8	
Sumangala Sharma	F	2004	Archery	Team	8	
Changte Lalremsaga	M	1996	Archery	Individual	25	
Skalzang Dorje	M	1996	Archery	Individual	47	
Limba Ram	M	1996	Archery	Individual	63	
Changte Lalremsaga	M	1996	Archery	Team	14	
Skalzang Dorje	M	1996	Archery	Team	14	
Limba Ram	M	1996	Archery	Team	14	
Devendro Singh Laishram	M	2012	Boxing	Light flyweight	5	
Shiva Thapa	M	2012	Boxing	Bantamweight	17	
Jai Bhagwan	M	2012	Boxing	Lightweight	9	
Manoj Kumar	M	2012	Boxing	Light welterweight	9	
Vikas Krishan Yadav	M	2012	Boxing	Welterweight	9	
Vijender Singh	M	2012	Boxing	Middleweight	5	
Sumit Sangwan	M	2012	Boxing	Light heavyweight	17	
Mary Kom	F	2012	Boxing	Flyweight	3	Bronze
Jitender Kumar	M	2008	Boxing	Flyweight	5	
Akhil Kumar	M	2008	Boxing	Bantamweight	5	
Anthresh Lakra	M	2008	Boxing	Featherweight	17	
Vijender Singh	M	2008	Boxing	Middleweight	3	Bronze
Dinesh Kumar	M	2008	Boxing	Light heavyweight	17	
Akhil Kumar	M	2004	Boxing	Flyweight	17	
Diwakar Prasad	M	2004	Boxing	Bantamweight	9	
Vijender Singh	M	2004	Boxing	Light welterweight	17	
Jitender Kumar	M	2004	Boxing	Light heavyweight	17	
Debendra Thapa	M	1996	Boxing	Light flyweight	17	
Gurcharan Singh	M	1996	Boxing	Light heavyweight	17	
Lakha Singh	M	1996	Boxing	Heavyweight	17	
Parupalli Kashyap	M	2012	Badminton	Singles	5	
V Diju	M	2012	Badminton	Mixed doubles	13	
Jwala Gutta	F	2012	Badminton	Mixed doubles	13	
Saina Nehwal	F	2012	Badminton	Singles	3	Bronze
Jwala Gutta	F	2012	Badminton	Doubles	8	
Ashwini Ponnappa	F	2012	Badminton	Doubles	8	
Anup Sridhar	M	2008	Badminton	Singles	17	
Saina Nehwal	F	2008	Badminton	Singles	5	
Nikhil Kanetkar	M	2004	Badminton	Singles	9	
Abhinn Shyam Gupta	M	2004	Badminton	Singles	17	
Aparna Popat	F	2004	Badminton	Singles	9	
Deepankar Bhattacharya	M	1996	Badminton	Singles	17	
Varalakshimi Pandimukkala Venkata	F	1996	Badminton	Singles	17	
Mahesh Bhupathi	M	2012	Tennis	Doubles	9	
Rohan Bopanna	M	2012	Tennis	Doubles	9	
Leander Paes	M	2012	Tennis	Doubles	9	
Jagadeesan Vishnuvardhan	M	2012	Tennis	Doubles	9	
Jagadeesan Vishnuvardhan	M	2012	Tennis	Singles	33	
Somdev Devvarman	M	2012	Tennis	Singles	33	
Leander Paes	M	2012	Tennis	Mixed doubles	5	
Sania Mirza	F	2012	Tennis	Mixed doubles	5	
Rushmi Chakravarthi	F	2012	Tennis	Doubles	17	
Sania Mirza	F	2012	Tennis	Doubles	17	
Mahesh Bhupathi	M	2008	Tennis	Doubles	5	
Leander Paes	M	2008	Tennis	Doubles	5	
Sania Mirza	F	2008	Tennis	Singles	33	
Sania Mirza	F	2008	Tennis	Doubles	9	
Sunitha Rao	F	2008	Tennis	Doubles	9	
Mahesh Bhupathi	M	2004	Tennis	Doubles	4	
Leander Paes	M	2004	Tennis	Doubles	4	
Mahesh Bhupathi	M	2000	Tennis	Doubles	9	
Leander Paes	M	2000	Tennis	Doubles	9	
Leander Paes	M	2000	Tennis	Singles	33	
Manisha Malhotra	F	2000	Tennis	Doubles	17	
Nirupama Vaidyanathan	F	2000	Tennis	Doubles	17	
Mahesh Bhupathi	M	1996	Tennis	Doubles	9	
Leander Paes	M	1996	Tennis	Doubles	9	
Leander Paes	M	1996	Tennis	Singles	3	Bronze
Soumyajit Ghosh	M	2012	Table tennis	Singles	33	
Ankita Das	F	2012	Table tennis	Singles	49	
Sharath Kamal Achanta	M	2008	Table tennis	Singles	33	
